match_id,throw,comeback,loss,first_blood_time,patch
8569093169,,560.0,,192,58
8569028066,2574.0,,14081.0,71,58
8568979829,,0.0,,93,58
8568316530,368.0,,21987.0,226,58
8568207580,,1657.0,,174,58
8568096717,,739.0,,331,58
8568000516,1561.0,,21655.0,15,58
8567870841,8321.0,,5637.0,304,58
8567739646,,5020.0,,131,58
8567657243,,0.0,,74,58
8567602441,,696.0,,9,58
8567561632,295.0,,16521.0,261,58
8567510660,,4527.0,,306,58
8566721284,,0.0,,122,58
8566575682,24425.0,,2064.0,59,58
8566440025,2638.0,,25542.0,316,58
8566338044,462.0,,29521.0,6,58
8566249805,,373.0,,195,58
8566178407,,3750.0,,285,58
8566115708,2244.0,,19458.0,120,58
8566063733,,2502.0,,183,58
8565317670,3961.0,,28158.0,102,58
8565187933,,661.0,,6,58
8565136926,23551.0,,24517.0,123,58
8565032937,5017.0,,29755.0,126,58
8564999206,4931.0,,26098.0,5,58
8564902816,,2375.0,,97,58
8564890979,,31.0,,239,58
8564803818,,49.0,,493,58
8564790199,,2440.0,,0,58
8564717509,148.0,,32256.0,361,58
8564700209,8132.0,,13970.0,123,58
8564653658,234.0,,17005.0,147,58
8564647553,,4535.0,,6,58
8564599835,,1344.0,,0,58
8564599807,,4938.0,,6,58
8563854851,,277.0,,27,58
8563765883,,496.0,,134,58
8563753696,,0.0,,36,58
8563649022,,1065.0,,289,58
8563648513,510.0,,24009.0,0,58
8563567049,135.0,,23192.0,0,58
8563511304,4831.0,,11377.0,71,58
8563461204,126.0,,16145.0,131,58
8563390941,541.0,,31897.0,347,58
8563350554,,1109.0,,220,58
8563281917,247.0,,28601.0,0,58
8563268789,,4049.0,,125,58
8563210674,2284.0,,14010.0,331,58
8563191677,,3512.0,,178,58
8563147439,,2782.0,,265,58
8563144244,0.0,,26929.0,52,58
8563095458,2841.0,,28770.0,238,58
8563095438,1537.0,,21967.0,0,58
8562561579,-2.0,,8184.0,55,58
8562458587,,670.0,,108,58
8562314380,4193.0,,28387.0,120,58
8562189069,596.0,,28656.0,9,58
8562149011,493.0,,24703.0,84,58
8562039870,2776.0,,32181.0,130,58
8562031459,1685.0,,6277.0,72,58
8561894402,1470.0,,20998.0,62,58
8561865161,,436.0,,311,58
8561770671,,1382.0,,33,58
8561739800,,0.0,,239,58
8561629941,,8278.0,,269,58
8561623439,725.0,,26554.0,216,58
8561521952,2091.0,,12546.0,373,58
8561497040,,84.0,,167,58
8561445240,0.0,,19996.0,290,58
8561413841,,-74.0,,0,58
8561344949,0.0,,21370.0,238,58
8561344901,1684.0,,26411.0,62,58
8560525197,-21.0,,13716.0,124,58
8560413451,,635.0,,191,58
8560307167,,1353.0,,29,58
8560217159,,0.0,,115,58
8560168584,,3307.0,,232,58
8560020571,,2301.0,,140,58
8560015897,682.0,,32683.0,124,58
8559906209,0.0,,19162.0,9,58
8559865390,6321.0,,7527.0,129,58
8559761804,,266.0,,369,58
8559752687,8419.0,,5895.0,250,58
8559668848,,353.0,,196,58
8559667418,,0.0,,132,58
8559581280,,0.0,,57,58
8559540162,,15955.0,,87,58
8559508113,0.0,,21643.0,93,58
8559446465,,0.0,,215,58
8559446424,2654.0,,22764.0,11,58
8550292837,9841.0,,7327.0,8,58
8550149598,13435.0,,977.0,324,58
8550072085,0.0,,14804.0,277,58
8549982041,317.0,,24911.0,106,58
8549890849,-504.0,,15988.0,0,58
8548606633,,0.0,,3,58
8548474254,,265.0,,6,58
8548375305,,4909.0,,0,58
8548286989,,0.0,,169,58
8548193692,1736.0,,26847.0,224,58
8547022523,3597.0,,3015.0,138,58
8546927307,97.0,,22639.0,115,58
8546822765,1102.0,,14269.0,32,58
